KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:3.5.5.6	H2O	18.0106
cpd:C00001	ec:3.5.3.6	H2O	18.0106
cpd:C00001	ec:3.5.3.7	H2O	18.0106
cpd:C00001	ec:3.5.3.8	H2O	18.0106
cpd:C00001	ec:3.5.3.9	H2O	18.0106
cpd:C00001	ec:3.5.4.1	H2O	18.0106
cpd:C00001	ec:3.5.4.10	H2O	18.0106
cpd:C00001	ec:3.5.4.11	H2O	18.0106
cpd:C00001	ec:3.5.4.12	H2O	18.0106
cpd:C00001	ec:3.5.4.13	H2O	18.0106
cpd:C00001	ec:3.5.4.15	H2O	18.0106
cpd:C00001	ec:3.5.4.16	H2O	18.0106
cpd:C00001	ec:3.5.4.17	H2O	18.0106
cpd:C00001	ec:3.5.4.18	H2O	18.0106
cpd:C00001	ec:3.5.4.19	H2O	18.0106
cpd:C00001	ec:3.5.4.2	H2O	18.0106
cpd:C00001	ec:3.5.4.20	H2O	18.0106
cpd:C00001	ec:3.5.4.21	H2O	18.0106
cpd:C00001	ec:3.5.4.22	H2O	18.0106
